name,part_url,price,type,efficiency,wattage,modular,color
EVGA 650 GD,https://pcpartpicker.com/product/K6jJ7P/evga-650-gd-650-w-80-gold-certified-atx-power-supply-100-gd-0650-v2,,ATX,gold,650,false,Black
KOLINK Core,https://pcpartpicker.com/product/CChv6h/kolink-core-500-w-80-certified-atx-power-supply-kl-c500,,ATX,plus,500,false,Black
Cooler Master GX,https://pcpartpicker.com/product/XGQypg/cooler-master-power-supply-rs650acaad3us,,ATX,plus,650,false,
KOLINK KL-SFX250,https://pcpartpicker.com/product/mW848d/kolink-250-w-80-bronze-certified-sfx-power-supply-kl-sfx250,,SFX,bronze,250,false,Black / Green
Cougar GEX X2,https://pcpartpicker.com/product/PhdG3C/cougar-gex-x2-1000-w-80-gold-certified-fully-modular-atx-power-supply-gex-x2-1000,,ATX,gold,1000,Full,Black
SeaSonic G,https://pcpartpicker.com/product/R7V48d/seasonic-power-supply-ssr650rm,,ATX,gold,650,Semi,
SeaSonic ATX3-FOCUS-GX-850-WHITE,https://pcpartpicker.com/product/fGzXsY/seasonic-atx3-focus-gx-850-white-850-w-80-gold-certified-fully-modular-atx-power-supply-atx3-focus-gx-850-white,,ATX,gold,850,Full,White
FSP Group Hydro G PRO ATX3.0(PCIe5.0),https://pcpartpicker.com/product/fMCZxr/fsp-group-hydro-g-pro-atx30pcie50-850-w-80-gold-certified-fully-modular-atx-power-supply-hg2-850gen5,,ATX,gold,850,Full,Black
FSP Group Hydro G PRO ATX3.0(PCIe5.0),https://pcpartpicker.com/product/nmCZxr/fsp-group-hydro-g-pro-atx30pcie50-1000-w-80-gold-certified-fully-modular-atx-power-supply-hg2-1000gen5,,ATX,gold,1000,Full,Black
Thermalright TGFX850,https://pcpartpicker.com/product/jjzXsY/thermalright-tgfx850-850-w-80-gold-certified-fully-modular-sfx-power-supply-tgfx850,,SFX,gold,850,Full,Black
Thermaltake Toughpower PF3,https://pcpartpicker.com/product/gtpQzy/thermaltake-toughpower-pf3-850-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfapu-3,,ATX,platinum,850,Full,Black
Chieftec Vita,https://pcpartpicker.com/product/KRCCmG/chieftec-vita-750-w-80-bronze-certified-atx-power-supply-bpx-750-s,174,ATX,bronze,750,false,Black / Blue
Thermaltake Toughpower SFX,https://pcpartpicker.com/product/Gr92FT/thermaltake-toughpower-sfx-750-w-80-gold-certified-fully-modular-sfx-power-supply-ps-stp-0750fnfagu-1,,SFX,gold,750,Full,Black
SeaSonic PRIME,https://pcpartpicker.com/product/jJMTwP/seasonic-prime-1000-w-80-gold-certified-fully-modular-atx-power-supply-prime-gx-1000,,ATX,gold,1000,Full,Black
Corsair Vengeance 550M,https://pcpartpicker.com/product/YNtWGX/corsair-vengeance-550m-550-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020111-de,,ATX,bronze,550,Semi,
Cooler Master G Gold 750 V2,https://pcpartpicker.com/product/dX4Zxr/cooler-master-g-gold-750-v2-750-w-80-gold-certified-atx-power-supply-mpe-7502-acaag-us,,ATX,gold,750,false,Black
In Win P75FII,https://pcpartpicker.com/product/7dwmP6/in-win-p75fii-750-w-80-gold-certified-atx-power-supply-iw-ps-pfii750w,,ATX,gold,750,false,Black / Yellow
Super Flower Leadex Titanium,https://pcpartpicker.com/product/rt848d/super-flower-leadex-titanium-1000-w-80-titanium-certified-fully-modular-btx-power-supply-sf-1000f14ht,,ATX,titanium,1000,Full,Black
