name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Corsair Scimitar Elite SE,https://pcpartpicker.com/product/hbCCmG/corsair-scimitar-elite-se-bluetoothwireless-optical-mouse-ch-9314014-ww,122,Optical,"Wireless, Bluetooth Wireless",33000,Right,Black / Gray
HP HyperX Pulsefire Haste 2,https://pcpartpicker.com/product/G3yH99/hp-hyperx-pulsefire-haste-2-wired-optical-mouse-6n0a7aa,73.99,Optical,Wired,26000,Right,Black
Glorious MODEL D,https://pcpartpicker.com/product/6qwkcf/glorious-pc-gaming-race-model-d-wired-optical-mouse-gd-white,,Optical,Wired,12000,Right,White
Keychron M7,https://pcpartpicker.com/product/j9bRsY/keychron-m7-bluetoothwirelesswired-optical-mouse-m7-a1,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Corsair IRONCLAW RGB WIRELESS,https://pcpartpicker.com/product/wqKcCJ/corsair-ironclaw-rgb-wireless-wireless-optical-mouse-ch-9317011-na,80.98,Optical,Wireless,18000,Right,Black
Asus ROG Keris II WL Ace,https://pcpartpicker.com/product/W9zXsY/asus-rog-keris-ii-wl-ace-wiredbluetoothwireless-optical-mouse-90mp03n0-bmua00,137.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black
Logitech MX MASTER 3S,https://pcpartpicker.com/product/smTp99/logitech-mx-master-3s-wireless-optical-mouse-910-006556,99,Optical,Wireless,8000,Right,Black
Razer Orochi V2,https://pcpartpicker.com/product/LGPQzy/razer-orochi-v2-wireless-optical-mouse-rz01-03730100-r3u1,34.99,Optical,Wireless,18000,Right,Black
Logitech PRO X SUPERLIGHT 2c,https://pcpartpicker.com/product/2jCCmG/logitech-pro-x-superlight-2c-wireless-optical-mouse-910-007528,159.99,Optical,Wireless,44000,Right,White
Glorious Model O 2 PRO,https://pcpartpicker.com/product/8PMMnQ/glorious-model-o-2-pro-wirelesswired-optical-mouse-glo-ms-powv2-1k-b,113.99,Optical,"Wired, Wireless",26000,Right,Black
Razer DeathAdder Elite,https://pcpartpicker.com/product/xgrcCJ/razer-deathadder-elite-wired-optical-mouse-rz01-02010100-r3u1,81.9,Optical,Wired,16000,Right,Black / Green
Logitech G903,https://pcpartpicker.com/product/6Bm323/logitech-g903-wireless-optical-mouse-910-005083,122.99,Optical,Wireless,12000,Both,Black / Blue
HP HyperX Pulsefire Haste,https://pcpartpicker.com/product/sz3gXL/hp-hyperx-pulsefire-haste-wireless-optical-mouse-4p5d7aa,83.98,Optical,Wireless,16000,Right,Black
Razer Viper V2 Pro,https://pcpartpicker.com/product/fQH7YJ/razer-viper-v2-pro-wireless-optical-mouse-rz01-04390200-r3u1,117.99,Optical,Wireless,30000,Right,White
Razer Viper Ultimate w/Dock,https://pcpartpicker.com/product/nhbTwP/razer-viper-ultimate-wdock-wireless-optical-mouse-rz01-03050300-r3m1,,Optical,Wireless,20000,Both,Pink
Razer Viper V3 Pro Sentinels Edition,https://pcpartpicker.com/product/8kGhP6/razer-viper-v3-pro-sentinels-edition-wirelesswired-optical-mouse-rz01-05120400-r3m1,179.99,Optical,"Wired, Wireless",35000,Right,Red
Razer Viper V2 Pro,https://pcpartpicker.com/product/Qt2WGX/razer-viper-v2-pro-wireless-optical-mouse-rz01-04390100-r3u1,95,Optical,Wireless,30000,Right,Black
SteelSeries Rival 600,https://pcpartpicker.com/product/ZNPKHx/steelseries-rival-600-wired-optical-mouse-62446,,Optical,Wired,12000,Right,Black
SteelSeries Aerox 3,https://pcpartpicker.com/product/2twkcf/steelseries-aerox-3-bluetooth-wireless-optical-mouse-62604,102.9,Optical,Bluetooth Wireless,18000,Right,Black
